Company,Reported_Amount,Extracted_Amount,Amount_Difference,Amount_Difference_Percentage,Reported_Round,Extracted_Round,Round_Match,Confidence_Score,Verification_Status,Matches,Mismatches,News_URL,Analysis_Date
Keyring,0.0,,,,SEED,,False,0.0,unverified,,,https://www.ebergcapital.com/portfolio/,2025-03-11 21:37:28
Serverpod,0.0,,,,SEED,,False,0.0,unverified,,,https://www.irregular.vc/portfolio,2025-03-11 21:37:28
getgigl,0.0,,,,SEED,,False,0.0,unverified,,,https://www.food-management.com/healthcare/5-tech-things-sodexo-live-accelerator-program-chooses-four-emerging-tech-startups-nurture,2025-03-11 21:37:28
FastLane Labs,0.0,,,,SEED,,False,0.0,unverified,,,https://techcrunch.com/2023/01/10/web3-focused-beacon-launches-flagship-demo-day-with-13-crypto-startups/?tpcc=tcplustwitter,2025-03-11 21:37:28
Colexion,0.0,,,,SEED,,False,0.0,unverified,,,https://techcrunch.com/2023/01/10/web3-focused-beacon-launches-flagship-demo-day-with-13-crypto-startups/?tpcc=tcplustwitter,2025-03-11 21:37:28
Farcana,0.0,,,,SEED,,False,0.0,unverified,,,https://medium.com/unpopular-vc/unpopular-ventures-annual-report-2023-8eb860b1cf64,2025-03-11 21:37:28
Performetry,0.0,,,,SEED,,False,0.0,unverified,,,https://www.bizjournals.com/sanfrancisco/inno/stories/news/2023/05/30/alchemist-accelerator-class33-graduates.html,2025-03-11 21:37:28
Relive,1.1,4.6,3.4999999999999996,318.18181818181813,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://gritdaily.com/indico-commits-4-6m-to-5-startups-2-related-to-ai-and-3-to-the-blue-economy/,2025-03-11 21:37:28
Fondo,1.9,,,,SEED,Nyemission (New issuance),False,0.0,unverified,,round_type,https://www.breakit.se/artikel/35970/fintechbolaget-fondo-fyller-kassan-med-nya-miljoner,2025-03-11 21:37:28
MyCellHub,2.2,,,,EARLY VC,Not mentioned,False,0.0,unverified,,round_type,https://biotech-finances.com/mycellhub-gemma-frisius-fund-noshaq-the-faktory-fund-lrm-oncodesign-precision-medicine-servier-novo-holdings-minervax/,2025-03-11 21:37:28
Zelok,1.76,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-decembre-2022/,2025-03-11 21:37:28
Kurabu,1.76,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2022/12/08/startupticker-gsg-pepper-grover/,2025-03-11 21:37:28
RESEE,3.3,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-decembre-2022/,2025-03-11 21:37:28
Eighty6,0.0,,,,SEED,Batch 4,False,0.0,unverified,,round_type,https://globalfintechseries.com/cryptocurrency/500-global-and-sanabil-investments-announce-batch-4-of-the-sanabil-500-mena-seed-accelerator-program/?utm_source=hootsuite&utm_medium=twitter&utm_term=fintech_series&utm_content=4ee2e1d0-e9d4-4c63-a26d-f05996d442d1&utm_campaign=Organic,2025-03-11 21:37:28
1fs Wealth,0.0,,,,SEED,,False,0.0,unverified,,,https://bit.ly/3VRQ3oZ,2025-03-11 21:37:28
Cefinn,1.584,,,,EARLY VC,,False,0.0,unverified,,,https://www.msn.com/en-gb/money/other/samcam-nets-%C2%A312m-of-new-backing-after-sales-boom-demand-at-cefinn-soared-by-45percent-to-%C2%A338m-in-year-to-end-of-october/ar-AA15oOQN,2025-03-11 21:37:28
Aiosyn,2.2,,,,SEED,,False,0.0,unverified,,,https://egirisim.com/2022/12/26/saglik-teknolojileri-gelistiren-aiosyn-2-milyon-euro-yatirim-aldi/,2025-03-11 21:37:28
Cube,2.2,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-decembre-2022/,2025-03-11 21:37:28
Polo del Gusto,3.3,3.0,0.2999999999999998,9.090909090909086,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://bebeez.it/private-equity/simest-con-3-mln-euro-supporta-polo-del-gusto-per-lo-sviluppo-del-cioccolato-domori-in-regno-unito/,2025-03-11 21:37:28
Apeiron Synthesis,4.8,4.8,0.0,0.0,SEED,Not specified,False,0.5,unverified,amount,round_type,https://buff.ly/3Ga0rmH,2025-03-11 21:37:28
Nemes Paris,0.0,,,,SEED,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-novembre-2022/,2025-03-11 21:37:28
Avisomo,2.2,2.0,0.20000000000000018,9.090909090909099,SEED,Seed,True,1.0,verified,"amount, round_type",,https://vertical-farming.net/blog/2022/12/07/norway-vertical-farming-system-developer-avisomo-announces-e2m-seed-financing-to-build-their-proof-of-concept-automated-facility/,2025-03-11 21:37:28
Jalon Therapeutics,0.484,2.0,1.516,313.22314049586777,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.finsmes.com/2022/12/jalon-therapeutics-raises-nearly-e2m-in-funding.html,2025-03-11 21:37:28
ITC,5.0,5.0,0.0,0.0,SERIES A,Series A,True,1.0,verified,"amount, round_type",,https://www.finsmes.com/2022/12/intelligent-traffic-control-raises-5m-usd-in-series-a-funding.html,2025-03-11 21:37:28
FTNet,3.3,3.0,0.2999999999999998,9.090909090909086,SEED,Second round,False,0.5,unverified,amount,round_type,https://bebeez.it/business-angel/la-startup-medtech-ftnet-chiude-il-suo-secondo-round-dinvestimento-da-3-mln-euro-2/,2025-03-11 21:37:28
Alderley Lighthouse Labs,0.66,1.0,0.33999999999999997,51.5151515151515,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.thebusinessdesk.com/northwest/news/2119307-alderley-lighthouse-labs-secures-1m-investment-to-drive-expansion,2025-03-11 21:37:28
Salted CX,1.5,,,,SEED,,False,0.0,unverified,,,https://forbes.cz/vostra-dvojka-je-zpet-zakladatele-miliardove-ytiky-rozjizdi-projekt-se-svetovymi-ambicemi/,2025-03-11 21:37:28
Fusion Engineering,0.5,1.0,0.5,100.0,SEED,Grand Prize,False,0.0,unverified,,"amount, round_type",http://www.geniusny.com/news/governor-hochul-announces-1-million-grand-prize-winner-of-genius-ny-the-worlds-largest-accelerator-for-uncrewed-aerial-systems,2025-03-11 21:37:28
Fusion Engineering,0.5,1.0,0.5,100.0,SEED,Grand Prize,False,0.5,unverified,round_type,amount,http://www.geniusny.com/news/governor-hochul-announces-1-million-grand-prize-winner-of-genius-ny-the-worlds-largest-accelerator-for-uncrewed-aerial-systems,2025-03-11 21:37:28
Fusion Engineering,0.77,700.0,699.23,90809.09090909091,SEED,Seed,True,0.0,unverified,,"amount, round_type",https://siliconcanals.com/crowdfunding/fusion-engineering-raises-700k/,2025-03-11 21:37:28
Fusion Engineering,0.77,700.0,699.23,90809.09090909091,SEED,Seed,True,0.5,unverified,round_type,amount,https://siliconcanals.com/crowdfunding/fusion-engineering-raises-700k/,2025-03-11 21:37:28
Ocula,0.0,,,,SEED,Strategic Investment,False,0.0,unverified,,round_type,https://ffnews.com/newsarticle/funding/lloyds-banking-group-and-castelnau-group-make-new-strategic-investment-in-decision-intelligence-firm-ocula-technologies/,2025-03-11 21:37:28
Ro&Zo,1.98,1.5,0.48,24.242424242424242,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.angelnews.co.uk/blog/consumer-goods-retail/pembroke-vct-leads-15m-funding-for-womenswear-brand-rozo/,2025-03-11 21:37:28
nona,1.21,,,,SEED,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-novembre-2022/,2025-03-11 21:37:28
Surgery Hero,2.64,2.0,0.6400000000000001,24.242424242424246,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.thebusinessdesk.com/yorkshire/news/2102750-2m-awarded-to-scale-up-digital-clinic,2025-03-11 21:37:28
Gbc-Beam,2.5,250.0,247.5,9900.0,SEED,Seed,True,0.5,unverified,round_type,amount,https://cn.technode.com/post/2022-11-17/beam-2m5-seed-round-funding/,2025-03-11 21:37:28
Pulsiv Solar,1.98,1.5,0.48,24.242424242424242,EARLY VC,Not specified,False,0.0,unverified,,"amount, round_type",https://markets.ft.com/data/announce/detail?dockey=1323-15705737-49MPOTD23AFKK3C7R7LC83HTAS,2025-03-11 21:37:28
Pulsiv Solar,1.98,1.5,0.48,24.242424242424242,EARLY VC,Not specified,False,0.0,unverified,,,https://markets.ft.com/data/announce/detail?dockey=1323-15705737-49MPOTD23AFKK3C7R7LC83HTAS,2025-03-11 21:37:28
Pulsiv Solar,1.65,,,,EARLY VC,,False,0.0,unverified,,"amount, round_type",https://pulsiv.co.uk/news/news-darrel-kingdam-ceo/,2025-03-11 21:37:28
Pulsiv Solar,1.65,,,,EARLY VC,,False,0.0,unverified,,,https://pulsiv.co.uk/news/news-darrel-kingdam-ceo/,2025-03-11 21:37:28
Vispa,1.65,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2022/11/24/startupticker-billie-moove/,2025-03-11 21:37:28
Beeldi,8.8,,,,SERIES A,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-novembre-2022/,2025-03-11 21:37:28
Dust Mobile_1,13.2,,,,SERIES B,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-novembre-2022/,2025-03-11 21:37:28
Beti,11.0,11.0,0.0,0.0,SERIES A,Growth Funding,False,0.5,unverified,amount,round_type,https://www.finsmes.com/2022/11/beti-raises-11m-in-growth-funding.html,2025-03-11 21:37:28
Flappin,0.44,3.0,2.56,581.8181818181819,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://dealflow.es/issue/344/userzoom-to-be-merged-in-b-entity-if-raised-3m-bnext-on-sale,2025-03-11 21:37:28
Winalist,1.43,725.0,723.57,50599.30069930071,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-octobre-2022/,2025-03-11 21:37:28
BYSTAMP,3.3,725.0,721.7,21869.69696969697,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-octobre-2022/,2025-03-11 21:37:28
Narwhal Media Group (NMG),2.64,2.0,0.6400000000000001,24.242424242424246,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.prnewswire.co.uk/news-releases/narwhal-media-group-nmg-raises-over-2-million-in-just-3-weeks-301690751.html,2025-03-11 21:37:28
Les Causantes,3.96,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-novembre-2022/,2025-03-11 21:37:28
Audion,6.6,,,,SERIES A,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-novembre-2022/,2025-03-11 21:37:28
EmailTree AI,2.97,2.7,0.27,9.090909090909092,SEED,Not specified,False,0.5,unverified,amount,round_type,https://therecursive.com/emailtree-looking-to-onboard-its-first-vc-in-the-next-e2-7m-late-seed-funding-round/,2025-03-11 21:37:28
Albion Technologies UK,0.528,,,,SEED,,False,0.0,unverified,,,https://albiontechnologies.co.uk/albion-technologies-announce-a-secured-investment-from-city-funds/,2025-03-11 21:37:28
Albion Technologies UK,0.528,,,,SEED,,False,0.0,unverified,,round_type,https://albiontechnologies.co.uk/albion-technologies-announce-a-secured-investment-from-city-funds/,2025-03-11 21:37:28
Albion Technologies UK,1.122,,,,SEED,Capital charge-up,False,0.0,unverified,,,https://thebusinessmagazine.co.uk/professional-services/albion-technologies-secures-capital-charge-up-from-britbots/,2025-03-11 21:37:28
Albion Technologies UK,1.122,,,,SEED,Capital charge-up,False,0.0,unverified,,round_type,https://thebusinessmagazine.co.uk/professional-services/albion-technologies-secures-capital-charge-up-from-britbots/,2025-03-11 21:37:28
Conservio,0.2,0.2,0.0,0.0,SEED,Pre-Seed,False,0.5,unverified,amount,round_type,https://weetracker.com/2022/10/03/south-african-startup-conservation-club-secures-usd-200-k-pre-seed-round/,2025-03-11 21:37:28
Mycover.ai,0.0,,,,SEED,,False,0.0,unverified,,,https://www.techstars.com/portfolio?name=MyCover.ai,2025-03-11 21:37:28
Nutritionpro,2.2,74.0,71.8,3263.6363636363635,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://cc.cz/ceske-nutritionpro-mesicne-rozveze-pres-100-tisic-jidel-v-expanzi-i-do-nemecka-mu-pomuze-74-milionu/,2025-03-11 21:37:28
Fabas,0.1,,,,SEED,,False,0.0,unverified,,,https://www.startupticker.ch/index.php/en/news/hoehle-der-loewen-myfeld-ueberwintert-mit-frischem-kapital,2025-03-11 21:37:28
Crealo,0.2,,,,SEED,Incubation,False,0.0,unverified,,round_type,https://www.moroccoworldnews.com/2022/10/351743/moroccos-state-owned-cdg-invest-fund-incubates-12-startups,2025-03-11 21:37:28
vlot,0.4,,,,SEED,,False,0.0,unverified,,,https://www.sictic.ch/startup/vlot/,2025-03-11 21:37:28
Covalo,1.2,,,,EARLY VC,Not specified in the news article,False,0.0,unverified,,round_type,https://www.sictic.ch/sictic-startups/,2025-03-11 21:37:28
Covalo,1.2,,,,EARLY VC,Not specified in the news article,False,0.0,unverified,,,https://www.sictic.ch/sictic-startups/,2025-03-11 21:37:28
Covalo,0.0,,,,SEED,,False,0.0,unverified,,round_type,https://www.sictic.ch/sictic-startups/,2025-03-11 21:37:28
Covalo,0.0,,,,SEED,,False,0.0,unverified,,,https://www.sictic.ch/sictic-startups/,2025-03-11 21:37:28
Signifikant Solutions,1.2,,,,EARLY VC,,False,0.0,unverified,,,https://www.sictic.ch/startup/signifikant-biz/,2025-03-11 21:37:28
Dublin Vinyl,1.1,1.0,0.10000000000000009,9.090909090909099,EARLY VC,Equity round,False,0.5,unverified,amount,round_type,https://www.independent.ie/business/irish/dublin-vinyl-raises-1m-in-latest-equity-round-42098026.html,2025-03-11 21:37:28
Dublin Vinyl,1.1,1.0,0.10000000000000009,9.090909090909099,EARLY VC,Equity round,False,0.0,unverified,,"amount, round_type",https://www.independent.ie/business/irish/dublin-vinyl-raises-1m-in-latest-equity-round-42098026.html,2025-03-11 21:37:28
Dublin Vinyl,1.1,1.0,0.10000000000000009,9.090909090909099,EARLY VC,Equity round,False,0.0,unverified,,,https://www.independent.ie/business/irish/dublin-vinyl-raises-1m-in-latest-equity-round-42098026.html,2025-03-11 21:37:28
Dublin Vinyl,0.66,1.0,0.33999999999999997,51.5151515151515,EARLY VC,Equity round,False,0.5,unverified,amount,round_type,https://www.independent.ie/business/irish/dublin-vinyl-raises-1m-in-latest-equity-round-42098026.html,2025-03-11 21:37:28
Dublin Vinyl,0.66,1.0,0.33999999999999997,51.5151515151515,EARLY VC,Equity round,False,0.0,unverified,,"amount, round_type",https://www.independent.ie/business/irish/dublin-vinyl-raises-1m-in-latest-equity-round-42098026.html,2025-03-11 21:37:28
Dublin Vinyl,0.66,1.0,0.33999999999999997,51.5151515151515,EARLY VC,Equity round,False,0.0,unverified,,,https://www.independent.ie/business/irish/dublin-vinyl-raises-1m-in-latest-equity-round-42098026.html,2025-03-11 21:37:28
Dublin Vinyl,0.605,,,,SEED,,False,0.5,unverified,amount,round_type,https://www.irishtimes.com/business/manufacturing/dublin-vinyl-gets-set-to-give-records-another-spin-1.3336706,2025-03-11 21:37:28
Dublin Vinyl,0.605,,,,SEED,,False,0.0,unverified,,"amount, round_type",https://www.irishtimes.com/business/manufacturing/dublin-vinyl-gets-set-to-give-records-another-spin-1.3336706,2025-03-11 21:37:28
Dublin Vinyl,0.605,,,,SEED,,False,0.0,unverified,,,https://www.irishtimes.com/business/manufacturing/dublin-vinyl-gets-set-to-give-records-another-spin-1.3336706,2025-03-11 21:37:28
LegionellaDossier,4.4,4.0,0.40000000000000036,9.090909090909099,SEED,Not specified,False,0.5,unverified,amount,round_type,https://bit.ly/3gIjPx3,2025-03-11 21:37:28
Hormona,1.5,,,,SEED,,False,0.0,unverified,,,https://tcrn.ch/3D5B6Zw,2025-03-11 21:37:28
RedElectric,0.935,1.0,0.06499999999999995,6.951871657754005,SEED,Not specified in the provided news article,False,0.5,unverified,amount,round_type,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2022/,2025-03-11 21:37:28
JNPR Spirits,1.21,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2022/,2025-03-11 21:37:28
DUA,4.0,,,,SERIES A,,False,0.0,unverified,,,https://www.startupticker.ch/en/news/swiss-dua-com-buys-german-dating-app,2025-03-11 21:37:28
Optim Finance,3.9,3.9,0.0,0.0,SEED,Seed Round,False,0.5,unverified,amount,round_type,https://optim-labs.medium.com/optim-seed-round-funding-126481413928,2025-03-11 21:37:28
Delta Business School,1.21,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2022/,2025-03-11 21:37:28
DIVIE,2.2,2.0,0.20000000000000018,9.090909090909099,SEED,Not specified,False,0.5,unverified,amount,round_type,https://data.ladn.eu/blog/startup/levee-fonds-divie-cbd/,2025-03-11 21:37:28
Everyangle,2.97,270.0,267.03,8990.90909090909,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.niutoushe.com/lives/jisuanjishijuepingtaieveryanglehuo270wanouyuanrongzisurevalleyventuresdengduojiazibenlianhelingtou,2025-03-11 21:37:28
Payment Systems Regulator,30.36,23.0,7.359999999999999,24.24242424242424,SERIES A,Series A,True,0.5,unverified,round_type,amount,https://thepaypers.com/online-payments/tymit-secures-gbp-23-mln-series-a-funding-round--1258881,2025-03-11 21:37:28
Flowlife,2.057206,,,,SEED,,False,0.0,unverified,,,https://mailchi.mp/e3a0ca255edd/swedish-tech-weekly-181-kive-tradera-flowlife-steep-flox-pirr-nona-parametric-solutions-della8-spotscale-exeger-hormona-gwen-node-vc-i-15523948,2025-03-11 21:37:28
Gentian,0.1,,,,SEED,,False,0.0,unverified,,,https://www.gener8tor.com/news/gener8tor-announces-startups-selected-for-fall-2022-sustainability-accelerator,2025-03-11 21:37:28
Bloomsbury Genetic Therapies,6.6,5.0,1.5999999999999996,24.24242424242424,SEED,Seed,True,0.5,unverified,round_type,amount,https://www.bioworld.com/articles/690534-bloomsbury-advancing-gene-therapies-for-rare-diseases-with-5m-seed-financing,2025-03-11 21:37:28
Capsule Corp. Labs,2.75,7.3,4.55,165.45454545454547,EARLY VC,Seed,False,0.0,unverified,,"amount, round_type",https://hackernoon.com/ternoa-completes-a-$73m-seed-to-foster-nft-mass-adoption-and-launches-web3-activity-in-dubai-uae,2025-03-11 21:37:28
Limula,0.0,,,,SEED,,False,0.0,unverified,,,https://www.startupticker.ch/en/news/biopole-funding-for-limula-and-nd-biosciences,2025-03-11 21:37:28
Legal Services Board,2.244,1.7,0.5440000000000003,24.242424242424253,SEED,Seed,True,0.5,unverified,round_type,amount,https://www.uktechnews.info/2022/10/07/lawhive-secures-1-7-million-seed-investment-led-by-episode-1-ventures/,2025-03-11 21:37:28
PreComb,1.191666,1.3,0.10833400000000015,9.090970120822458,SEED,Pre-Series A,False,0.5,unverified,amount,round_type,https://longevc.com/news-media/tpost/pacry86j71-personalised-oncology-platform-precomb-t,2025-03-11 21:37:28
Drupps,2.154016,,,,LATE VC,,False,0.0,unverified,,,"https://news.cision.com/drupps/r/drupps-completes-directed-new-issue-of-shares,c3640554",2025-03-11 21:37:28
Drupps,2.154016,,,,LATE VC,,False,0.0,unverified,,"amount, round_type","https://news.cision.com/drupps/r/drupps-completes-directed-new-issue-of-shares,c3640554",2025-03-11 21:37:28
Drupps,0.605061,5.0,4.394939,726.362961750964,EARLY VC,Directed new share issue,False,0.0,unverified,,,https://www.longruncapital.com/updates/drupps,2025-03-11 21:37:28
Drupps,0.605061,5.0,4.394939,726.362961750964,EARLY VC,Directed new share issue,False,0.0,unverified,,"amount, round_type",https://www.longruncapital.com/updates/drupps,2025-03-11 21:37:28
Poplar Studio,0.0,,,,SEED,,False,0.0,unverified,,,https://haatch.com/portfolio/poplar/,2025-03-11 21:37:28
Recruitment Smart Technologies,2.64,,,,SERIES A,,False,0.0,unverified,,,https://blackfinch.investments/assets/Blackfinch_Spring_Venture_Capital_Trust_Prospectus_2023_dde168136c.pdf,2025-03-11 21:37:28
roclub,2.2,2.0,0.20000000000000018,9.090909090909099,SEED,Pre-Seed,False,0.5,unverified,amount,round_type,https://www.roclub.com/press/roclub-raises-2m-euro-in-pre-seed-round,2025-03-11 21:37:28
Smino,0.0,,,,SERIES A,,False,0.0,unverified,,,https://www.startupticker.ch/en/news/smino-uebernimmt-oesterreichisches-bim-deeptech,2025-03-11 21:37:28
Twice Commerce,4.18,3.8,0.3799999999999999,9.090909090909088,SEED,Not specified,False,0.5,unverified,amount,round_type,https://tech.eu/2022/09/19/reimagining-commerce-for-circular-economy-finnish-platform-rentle-raises-38-million,2025-03-11 21:37:28
Twice Commerce,4.18,3.8,0.3799999999999999,9.090909090909088,SEED,Not specified,False,0.5,unverified,amount,round_type,https://tech.eu/2022/09/19/reimagining-commerce-for-circular-economy-finnish-platform-rentle-raises-38-million,2025-03-11 21:37:28
Twice Commerce,0.275,0.25,0.025000000000000022,9.090909090909099,SEED,Pre-seed,False,0.5,unverified,amount,round_type,https://www.fiban.org/news/angels-gentle-towards-rentle-who-raise-pre-seed-round-of-250k-to-help-create-better-rental-experiences,2025-03-11 21:37:28
Twice Commerce,0.275,0.25,0.025000000000000022,9.090909090909099,SEED,Pre-seed,False,0.5,unverified,amount,round_type,https://www.fiban.org/news/angels-gentle-towards-rentle-who-raise-pre-seed-round-of-250k-to-help-create-better-rental-experiences,2025-03-11 21:37:28
NBX,12.10121,100.0,87.89879,726.3636446272728,LATE VC,Equity financing facility,False,0.0,unverified,,"amount, round_type",https://www.inderes.dk/en/releases/nbx-norwegian-block-exchange-secures-a-nok-100-million-equity-financing-facility,2025-03-11 21:37:28
Ittybit,0.066,,,,SEED,,False,0.0,unverified,,,https://businesscloud.co.uk/news/baltic-ventures-accelerator-unveils-9-strong-first-cohort/,2025-03-11 21:37:28
Agel,0.0,,,,SEED,,False,0.0,unverified,,,https://www.linkedin.com/posts/flat6labs_meet-the-12-startups-at-flat6labs-2023-demo-activity-7029409590723100672-fxx1/,2025-03-11 21:37:28
Relate - The Relationship Company,0.7,,,,SEED,,False,0.0,unverified,,,https://www.di.se/digital/h-m-s-ordforande-fortsatter-ploja-ned-pengar-i-dejtingapp/,2025-03-11 21:37:28
Valueco,0.1405,,,,SEED,Not specified,False,0.0,unverified,,round_type,https://www.techstars.com/newsroom/techstars-abn-amro-future-of-finance-accelerator-announces-2022-class,2025-03-11 21:37:28
Commune,1.65,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2022/,2025-03-11 21:37:28
Relox Robotics | Poki Robotics,1.331133,,,,EARLY VC,,False,0.0,unverified,,,https://www.almi.se/almi-invest/nyheter/almi-invest-investerar-i-relox-vars-robot-samlar-golfbollar-pa-rangen/,2025-03-11 21:37:28
Berny,2.2,,,,SEED,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2022/,2025-03-11 21:37:28
Bloobloom,4.884,3.7,1.1840000000000002,24.242424242424242,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.angelnews.co.uk/blog/vct/pembroke-vct-leads-37m-investment-into-ethical-glasses-brand-bloobloom/,2025-03-11 21:37:28
Ripple Energy,0.275,0.25,0.025000000000000022,9.090909090909099,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://www.renewableenergymagazine.com/panorama/ecosia-to-invest-250-000-euros-in-20220929,2025-03-11 21:37:28
Live Stock Wealth,0.6875,10.0,9.3125,1354.5454545454545,EARLY VC,Not specified,False,0.0,unverified,,"amount, round_type",https://ventureburn.com/2022/09/mic-invests-r10m-in-crowd-farming-fintech-livestock-wealth/,2025-03-11 21:37:28
SiVIEW,6.05,5.5,0.5499999999999998,9.090909090909088,SERIES A,Capital increase,False,0.5,unverified,amount,round_type,https://www.lbofrance.com/en/siview-a-specialist-in-ai-driven-visual-diagnostics-announces-with-lbo-france-a-capital-increase-of-e5-5m/,2025-03-11 21:37:28
SiVIEW,6.05,5.5,0.5499999999999998,9.090909090909088,SERIES A,Capital increase,False,0.0,unverified,,round_type,https://www.lbofrance.com/en/siview-a-specialist-in-ai-driven-visual-diagnostics-announces-with-lbo-france-a-capital-increase-of-e5-5m/,2025-03-11 21:37:28
SiVIEW,0.0,5.5,5.5,,SEED,Capital increase,False,0.5,unverified,amount,round_type,https://www.lbofrance.com/en/siview-a-specialist-in-ai-driven-visual-diagnostics-announces-with-lbo-france-a-capital-increase-of-e5-5m/,2025-03-11 21:37:28
SiVIEW,0.0,5.5,5.5,,SEED,Capital increase,False,0.0,unverified,,round_type,https://www.lbofrance.com/en/siview-a-specialist-in-ai-driven-visual-diagnostics-announces-with-lbo-france-a-capital-increase-of-e5-5m/,2025-03-11 21:37:28
Arecor,6.6,,,,EARLY VC,,False,0.0,unverified,,,https://bit.ly/3DbOKuD,2025-03-11 21:37:28
Villa Seafood,3.037404,,,,SEED,,False,0.0,unverified,,,http://dlvr.it/SZ1gTv,2025-03-11 21:37:28
Climate Solutions Exchange,3.3,,,,SEED,Seed funding,False,0.0,unverified,,round_type,https://csxcarbon.com/2022/09/26/successful-seed-funding-csx-carbon/,2025-03-11 21:37:28
Marine Edge,1.0,,,,SEED,,False,0.0,unverified,,,https://www.linkedin.com/pulse/weekly-firgun-newsletter-eze-vidra-6e,2025-03-11 21:37:28
Marine Edge,1.0,,,,SEED,,False,0.0,unverified,,,https://www.linkedin.com/pulse/weekly-firgun-newsletter-eze-vidra-6e,2025-03-11 21:37:28
Marine Edge,0.0,,,,SEED,,False,0.0,unverified,,,https://www.offshore-energy.biz/eastern-pacific-invests-in-9-more-next-gen-startups/,2025-03-11 21:37:28
Marine Edge,0.0,,,,SEED,,False,0.0,unverified,,,https://www.offshore-energy.biz/eastern-pacific-invests-in-9-more-next-gen-startups/,2025-03-11 21:37:28
Ponea Health,4.3,,,,SEED,,False,0.0,unverified,,,http://dlvr.it/SYs5fp,2025-03-11 21:37:28
Vyld,0.033,,,,SEED,,False,0.0,unverified,,,https://www.eu-startups.com/2022/09/impact-shakers-makes-first-investments-in-purpose-driven-ventures-led-by-underrepresented-founders/,2025-03-11 21:37:28
Gozen Institute,0.53,,,,SEED,,False,0.0,unverified,,,http://dlvr.it/SYlT50,2025-03-11 21:37:28
Faction Skis,7.333334,,,,EARLY VC,,False,0.0,unverified,,,https://www.startupticker.ch/en/news/fresh-capital-and-a-new-acquisition-for-the-faction-collective#.Yyh7oizU91A.twitter,2025-03-11 21:37:28
Vian,10.0,,,,EARLY VC,,False,0.0,unverified,,,https://www.ebrd.com/news/2022/ebrd-invests-us-35-million-in-georgias-healthcare-sector.html,2025-03-11 21:37:28
Equip Sport,4.583334,5.0,0.4166660000000002,9.090893223142809,SEED,Not specified,False,0.5,unverified,amount,round_type,https://shop-eat-surf.com/2022/09/equip-raises-5-million-chf-to-revolutionize-access-to-sports/,2025-03-11 21:37:28
Amplo GmbH,1.466666,1.6,0.13333400000000006,9.090958677708494,SEED,Pre-seed,False,0.5,unverified,amount,round_type,https://www.startupticker.ch/en/news/amplo-secures-chf-1-6-million-in-pre-seed-round,2025-03-11 21:37:28
